Currency,Exchange Rate
EUR,1.0
AED,3.8386
AFN,76.9427
ALL,99.0607
AMD,414.7027
ANG,1.871
AOA,974.6042
ARS,1107.0841
AUD,1.646
AWG,1.871
AZN,1.7782
BAM,1.9558
BBD,2.0905
BDT,126.9588
BGN,1.9558
BHD,0.393
BIF,3103.8215
BMD,1.0452
BND,1.4031
BOB,7.2271
BRL,5.9597
BSD,1.0452
BTN,90.8606
BWP,14.4474
BYN,3.4175
BZD,2.0905
CAD,1.4835
CDF,2989.5278
CHF,0.9438
CLP,991.6143
CNY,7.6054
COP,4314.8707
CRC,529.0631
CUP,25.0857
CVE,110.265
CZK,25.0785
DJF,185.7606
DKK,7.4599
DOP,64.9813
DZD,141.0566
EGP,52.9116
ERN,15.6786
ETB,134.2021
FJD,2.407
FKP,0.8287
FOK,7.4598
GBP,0.8287
GEL,2.9469
GGP,0.8287
GHS,16.262
GIP,0.8287
GMD,75.8961
GNF,9006.9305
GTQ,8.0668
GYD,218.7459
HKD,8.1243
HNL,26.6671
HRK,7.5345
HTG,136.751
HUF,401.2172
IDR,17026.101
ILS,3.7145
IMP,0.8287
INR,90.8604
IQD,1368.089
IRR,44544.4604
ISK,146.6992
JEP,0.8287
JMD,165.2461
JOD,0.7411
JPY,158.741
KES,135.2146
KGS,91.4121
KHR,4193.1039
KID,1.6459
KMF,491.9678
KRW,1506.9833
KWD,0.3227
KYD,0.871
KZT,522.8145
LAK,22892.9944
LBP,93548.7494
LKR,309.4954
LRD,208.5996
LSL,19.241
LYD,5.1313
MAD,10.4336
MDL,19.5327
MGA,4841.5978
MKD,61.495
MMK,2977.7013
MNT,3593.1466
MOP,8.3677
MRU,41.8278
MUR,48.5525
MVR,16.1658
MWK,1822.7027
MXN,21.167
MYR,4.6463
MZN,66.8705
NAD,19.241
NGN,1582.4421
NIO,38.4832
NOK,11.6538
NPR,145.377
NZD,1.8324
OMR,0.4019
PAB,1.0452
PEN,3.8596
PGK,4.2499
PHP,60.8409
PKR,291.9498
PLN,4.1551
PYG,8250.5964
QAR,3.8047
RON,4.9771
RSD,117.1687
RUB,95.6206
RWF,1492.8149
SAR,3.9196
SBD,8.9589
SCR,15.2252
SDG,467.2489
SEK,11.205
SGD,1.4031
SHP,0.8287
SLE,23.9123
SLL,23911.8907
SOS,597.9056
SRD,37.2269
SSP,4598.8858
STN,24.5
SYP,13525.765
SZL,19.241
THB,35.2003
TJS,11.4616
TMT,3.6604
TND,3.316
TOP,2.488
TRY,37.9373
TTD,7.3193
TVD,1.6459
TWD,34.2151
TZS,2725.5704
UAH,43.521
UGX,3852.7654
USD,1.0453
UYU,45.319
UZS,13547.3914
VES,64.9922
VND,26820.2612
VUV,128.3746
WST,2.9058
XAF,655.957
XCD,2.8221
XDR,0.7992
XOF,655.957
XPF,119.332
YER,259.188
ZAR,19.2385
ZMW,29.3757
ZWL,27.6543
